Qidentifier	Qtitle	Qpagename	Qsubtitle	Qetymology	Qdefinition	Qsubmitted	Qemailaddress	QDateSubmitted	Qposter	QPosterEmail	QDateEdited	QUpdateDescription
Identifier	Word	Page Name	Part of Speech	Etymology	Definition	Submitted By	E-mail Address	Date Submitted	Updated By	Your E-mail Address	Date Edited	Description Of Update
Identifier	Title	PageName	Text	Subtitle	Text	Name	Text	Date	Name	Text	Date	Text
Never	Always	Never	Sometimes	Sometimes	Always	Always	Never	Sometimes	Sometimes	Never	Sometimes	Sometimes
Unindexed	Unindexed	Unindexed	Unindexed	Unindexed	Unindexed	Unindexed	Unindexed	Unindexed	Unindexed	Unindexed	Unindexed	Unindexed
Uneditable	Required	Uneditable	Optional	Optional	Required	Uneditable	Uneditable	Uneditable	Re-enter	Re-enter	Uneditable	Re-enter
 4421 	sucmucio	dbx_s_index.htm#sucmucio	n.	happiness+mouth+{preposition}+{opposite}	NA	-) -- Internet emoticon symbolizing gladness and mirth	JAH	5/12/02 10:27:57 PM 	12/02/99	NA	12:00:00 AM 	12/02/99
 1900 	duvmir	dbx_d_index.htm#duvmir	n.	two+world	Venus -- the second planet from the Sun	Proofread	12/11/99	12:00:00 AM 	NA	4/11/02 12	2/22/1900 	NA
 820 	calotcatoh	dbx_c_index.htm#calotcatoh	n.	dog+cat	hyena, hyaena -- nocturnal mammal of Africa and southern Asia that feeds chiefly on carrion [Word History: "Hyenas are in their own family (along with the aardwolf). But they're related to cats: carnivores are divided into two major groups (suborders or superfamilies), and hyenas are in the same group with cats, civets, mongooses, etc. It seemed to me that hyenas were the most dog-like of the animals in the 'cat' group (Feloidea or Feliformia)." - <a href="https://www.io.com/~hmiller/lang/">Herman Miller</a>]	Proofread	12/10/99	5/12/02 10:28:00 PM 	hmiller@IO.COM	4/10/02 22	2/27/1900 	NA
 435 	bacdabcalc	dbx_b_index.htm#bacdabcalc	n.	alphabet+pressing+peripheral	keyboard -- a typewriter-like component or peripheral to a computer	JAH	Proofread	11/09/99 	NA	NA	11/09/99 	NA
 437 	bacdabhim	dbx_b_index.htm#bacdabhim	n.	alphabet+pressing+tool	typewriter	JAH	Proofread	11/09/99 	NA	NA	11/09/99 	NA
 3 	bad	dbx_b_index.htm#bad	n.	From Arabic & Hindi /badan/ and English /badi/, all meaning "body".	body part -- any part of an organism such as an organ or extremity	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 4 	bah	dbx_b_index.htm#bah	n.	From Hindi /bahar/.	outside -- the space beyond the outer surface	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 5 	bamub	dbx_b_index.htm#bamub	n.	From Malay 'bambu', extant in Romance (Spanish, Italian), Germanic (English, German, Dutch) and auxilaries (Esperanto, Novial).	bamboo -- the hardy wooden stems of bamboo plants; used in construction, crafts and fishing poles	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 6 	banc	dbx_b_index.htm#banc	n.	A shift in meaning from the international form /bank/, "an institution hold money in reserve for you", ultimately from Old High German 'banc', "moneychanger's table", and extant in Arabic, Russian, Hindi, English, Spanish, German, Dutch, Italian, Esperanto and Novial. Adopted in favor of 'reserv' (from Latin), as /bank/ is much more widely used internationally.	reserve - supply kept back and saved for future use	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 7 	baner	dbx_b_index.htm#baner	n.	From English 'banner', from Vulgar Latin 'bandaria', extant in Romance (Spanish, Italian), Indonesian, et al.	flag, banner -- usu. rectangular piece of cloth of distinctive design used to convey a message or part of a message or to signify a group of people	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 8 	bar	dbx_b_index.htm#bar	n.	From English and Spanish /bar/, meaning "railing, bar".	bar, rod, rail -- any long, thin implement made of metal or wood	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 9 	barc	dbx_b_index.htm#barc	n.	From Arabic /bark/, with initial /b-/ in Hindi /bijli/, German 'Blitz' and Dutch 'bliksem' (c.v. English borrowing 'blitzkrieg').	lightning -- the flash of light that accompanies an electric discharge in the atmosphere	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 10 	bazar	dbx_b_index.htm#bazar	n.	From Persian /bazar/, extant in Russian, Hindi, Arabic, Spanish, English, Italian, Esperanto, et al.	market -- place where goods are bought/sold/traded	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 11 	bez	dbx_b_index.htm#bez	n.	From Russian /bez/, with initial /b-/ in Hindi /bahr/ and Arabic /bila/.	absence -- a deficiency or lack of something	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 12 	bin	dbx_b_index.htm#bin	n.	From Arabic /bin/, with initial /b-/ in English 'building'.	building, edifice -- structure with walls and a roof and stands more or less permanently in one place	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 13 	bir	dbx_b_index.htm#bir	n.	Since there are no international roots for "barley", the word was adapted from its most popular biproduct, from English 'beer', extant in Arabic, Hindi, German, Dutch, Italian, Esperanto and Novial.	barley -- the grain of Hordeum vulgare or its varieties, used since prehistoric times for livestock feed, malt production and cereal	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 14 	bomb	dbx_b_index.htm#bomb	n.	From Italian 'bomba', extant in Russian, Hindi, Spanish, French, Germanic (English, German, Dutch, et al) and auxiliaries (Esperanto, Novial, et al).	bomb -- an explosive device fused to ignite under specific conditions	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 15 	bud	dbx_b_index.htm#bud	n.	From Russian /budush/, with initial /b-/ in Hindi /bavish/.	future -- the time yet to come	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 738 	budcafaz	dbx_b_index.htm#budcafaz	n.	future+jump	making a foolish decision or judgement without considering the facts or consequences	MHM	Proofread	11/09/99 	NA	NA	11/09/99 	NA
 16 	bur	dbx_b_index.htm#bur	n.	From Russian & Hindi /bur/, with initial /b-/ in English, German, Dutch, Esperanto and Novial forms.	brown -- an orange color of low brightness and saturation	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 17 	cact	dbx_c_index.htm#cact	n.	From Latin 'actum', extant in Spanish, English, French, et al, with initial /k-/ from Hindi /karni/.	action -- the act or process of doing something	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 18 	caf	dbx_c_index.htm#caf	n.	From Italian 'caffe' (itself from Arabic /kahwa/), which has been borrowed into most languages, including AfghanDari'kaafi', Afrikaans'koffie', Albanian'kafe', Amoy'gkou-bpih', Arabic (Egyptian) 'qahwa', Arabic (Gulf) 'gahwa', Arabic (Iraqi) 'gahwa', Arab	coffee -- the beverage consisting of an infusion of ground coffee seeds	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 19 	cafaz	dbx_c_index.htm#cafaz	n.	From Arabic /kafaz/ with initial /k-/ in Hindi /kud/.	jump -- the act of leaping	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 791 	cafcactu	dbx_c_index.htm#cafcactu	v.	coffee+action+{verb}	to brew coffee	MHM	Proofread	11/09/99 	NA	NA	11/09/99 	NA
 797 	cafcosu	dbx_c_index.htm#cafcosu	v.	coffee+food-preparation+{verb}	to brew coffee	JAH	Proofread	11/09/99 	NA	NA	11/09/99 	NA
 20 	cah	dbx_c_index.htm#cah	n.	From Russian /kashestv/.  Initial /k-/ reinforced by Spanish /kalidad/.	abstraction -- concept without any specific instance; quality or property exhibited by something	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 21 	cal	dbx_c_index.htm#cal	n.	From Russian /kal/.	feces, excrement -- solid excretory product	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 22 	calc	dbx_c_index.htm#calc	n.	Late Latin 'calculare', "to calculate", extant in English 'calculator', Spanish 'calculador', et al.	peripheral -- an auxiliary device that works with a computer, such as a printer or scanner, or a subcomponent of a computer, such as a hard drive	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 817 	callic	dbx_c_index.htm#callic	n.	feces+liquid	diarrhea	MHM	Proofread	11/09/99 	NA	NA	11/09/99 	NA
 818 	callicfac	dbx_c_index.htm#callicfac	n.	feces+liquid+obscenity	an insult -- calling a person 'diarrhea'	MHM	Proofread	11/09/99 	NA	NA	11/09/99 	NA
 23 	calot	dbx_c_index.htm#calot	n.	Blend of Arabic /kalb/ and Hindi /kuta/, with initial /k-/ in English 'canine' and Italian 'cane'.	dog, canine -- a domesticated carnivorous mammal (Canis familiaris) related to the foxes and wolves and raised in a wide variety of breeds	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 1 	bac	dbx_b_index.htm#bac	n.	< a, b, c fit into phonotactics	alphabet -- a system of writing tending to represent individual sounds rather than representing individual syllables or individual meanings (e.g., hieroglyhs, Chinese characters)	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 24 	cals	dbx_c_index.htm#cals	n.	Latin 'classis', "class of citizens", extant in Russian, Spanish, English, et al.	class, kind, type -- any number of objects or events with a common attribute	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 25 	cam	dbx_c_index.htm#cam	n.	Shortened form of Dublex 'camis', "shirt".	garment -- an article of clothing	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 26 	camel	dbx_c_index.htm#camel	n.	From Greek 'kamelos', of Semitic origin (extant in Latin, English and Spanish) and still current in Arabic /jamal/ and /gamal/, forms widely borrowed throughout Africa.	camel -- cud-chewing mammal of the genus Camelus used as a draft or saddle animal in desert regions	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 27 	camer	dbx_c_index.htm#camer	n.	From Late Latin 'camera', extant in English 'chamber' and 'camera (obscura)', and in Hindi /kamra/ and in Dutch, Esperanto and Novial.  Initial /k-/ in Russian /komnet/.	room, chamber -- an area within a building enclosed by walls, a floor and a ceiling	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 862 	camercand	dbx_c_index.htm#camercand	n.	room+hole	doorway	MHM	Proofread	11/09/99 	NA	NA	11/09/99 	NA
 28 	camis	dbx_c_index.htm#camis	n.	Late Latin 'camisa', extant in Albanian 'ke"mishe"', Amharic 'shemiz', Arabic (Egyptian) 'qamees', Aymara 'kamisa', Balinese 'kemeja', Bulgarian 'dzheb', Catalan 'camisa', Cebuano 'kamisa', English 'camise', Esperanto 'c^emizo', French 'chemise', Greek (M	shirt -- a garment worn on the upper part of the body	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 29 	camp	dbx_c_index.htm#camp	n.	Latin 'campus', "field", extant in Romance (Spanish, Italian, et al) and English 'campus', 'camp' (mnemonic: 'campsite').	field -- a piece of land cleared of trees	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 30 	canc	dbx_c_index.htm#canc	n.	From Latin 'cancer', "crab, constellation Cancer", (extant in English, et al), with initial /k-/ in Hindi /kand/ and Spanish 'casco'.	shell -- the material that forms the hard outer covering of many animals	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 31 	cand	dbx_c_index.htm#cand	n.	From Hindi /kandra/ (meaning "cave"), with /k-/ strengthened by words for "cave" in Arabic /kaxf/, Spanish /kov/, English /kaiv/ and Mandarin Chinese /ken/.	hole, orifice -- an opening into something but not through it [contrast 'hubac']	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 32 	canon	dbx_c_index.htm#canon	n.	From Old Italian 'cannone', extant in Spanish, Germanic (English, German, Dutch) and auxiliaries (Esperanto, Novial), et al.	cannon -- a large gun that is usually on wheels	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 33 	cant	dbx_c_index.htm#cant	n.	From Hindi /kant/, within initial /k-/ in Russian /kryuk/.	fastener -- attaching to something and holds something in place	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 34 	canun	dbx_c_index.htm#canun	n.	From Arabic & Hindi /kanun/, both from Latin 'canon', "rule", also extant in English 'canon', et al.	law -- the collection of rules imposed by an authority	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 35 	cap	dbx_c_index.htm#cap	n.	From Indo-European *kaput-, "head", extant in Spanish 'cabeza', English 'head', 'captain' ("head of a boat"), 'capital' ("head city of a government"), 'decapitate', et al., Indonesian and Malay 'kepala', German 'Kopf', Nepali 'kapal', Romanian 'capul', Modern Greek 'kephali', Javanese 'kepala', et al.	head -- the upper or front part of the body in animals; contains the face and brains	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 36 	capt	dbx_c_index.htm#capt	n.	From Late Latin 'capitaneus', "chief", extant in words for captain in Arabic, Russian, Hindi, Spanish and English.	leader -- a person who rules or guides or inspires others	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 37 	caras	dbx_c_index.htm#caras	n.	Blend of Welsh 'cara' and Latin 'ca:rus', "dear, beloved", extant in Spanish, Portuguese and Italian /caro/ and in English 'caress', 'cherish', et al; similar to Ilocano /karayo/, Breton /karout/ and Georgian /qvar/.	love -- a strong positive emotion of regard and affection	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 38 	carb	dbx_c_index.htm#carb	n.	From French 'carbone', extant in Arabic, Hindi, English, Spanish, Italian, Esperanto, Novial.	carbon, C -- an abundant nonmetallic tetravalent element occurring in three allotrophic forms (amorphous, graphite and diamond) that occur in all organic compounds	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 1018 	carbduvluft	dbx_c_index.htm#carbduvluft	n.	carbon+two+air	carbon dioxide, CO2	MHM	Proofread	11/09/99 	NA	NA	11/09/99 	NA
 39 	carc	dbx_c_index.htm#carc	n.	Truncation of /akarkut/, a blend of Esperanto 'akra' and Latin 'acutus', extent in English, Spanish, Italian, et al.	sharp object -- an object having a thin edge or a fine point suitable for or capable of cutting or piercing [scalar]	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 40 	card	dbx_c_index.htm#card	n.	From Greek 'cardia' from Indo-European *kerd-, extant in Arabic, Hindi, Romance (Latin 'cardia', Spanish, Italian, et al), Germanic (English 'heart', German, Dutch) and auxiliaries (Esperanto, Novial).	heart -- the hollow muscular organ whose rhythmic contractions pump blood through the body	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 41 	carn	dbx_c_index.htm#carn	n.	From Latin 'carn-, caro', "flesh", extant in Spanish and English.	flesh -- the soft tissue of the body of a vertebrate	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 42 	cars	dbx_c_index.htm#cars	n.	From Hindi /kras/, from Latin 'crux', extant in Russian, Spanish, English, Hungarian, et al.	cross -- a shape, mark or pattern formed by the intersection of two lines	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 43 	cart	dbx_c_index.htm#cart	n.	Greek 'khartes', extant in Russian, Hindi, Germanic (English, German, Dutch), Romance (Latin, Spanish), auxiliaries (Esperanto, Novial), with initial /k/ in Mandarin Chinese /kapyan/.	card -- thin cardboard, usually rectangular	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 44 	cat	dbx_c_index.htm#cat	n.	From /kat-/, a common form attested in Arabic(Egyptian) 'qat,a`' /kata/, Arabic(Syrian) 'qat,' /kat/, Assamese 'kat.a-', Bengali 'kat.i;', Bislama 'katem', Cambodian 'gut', Cantonese 'got', English 'cut', Fijian 'kotiva', Fiji-Hindi 'kaat.-', Hakka 'kot',	cut, cutting -- a part removed from a main body through use of a sharp-edged instrument	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 45 	catoh	dbx_c_index.htm#catoh	n.	Blend of Arabic /kat/ and Russian /koshk/, with /kat-/ also in English 'cat', German 'katze', Dutch 'kat' and with /-ato-/ from Spanish 'gato' and Italian 'gatto'.	cat -- feline mammal usu. having thick soft fur Felis catus	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 46 	caz	dbx_c_index.htm#caz	n.	Latin 'causa', extant in Spanish and English, with initial /k-/ in Hindi /karn/.	cause -- someone or something that produces an effect, result or consquence	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 47 	celeb	dbx_c_index.htm#celeb	n.	Blend of Hindi /kel/ and Arabic /laib/, influenced by Latin 'celebrare', extant in English, Spanish, et al.	play, diversion -- activity engaged in for enjoyment or recreation	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 48 	ciber	dbx_c_index.htm#ciber	n.	English 'cyber-'.	cyberspace -- all or part of a computer's storage space, whether temporary like RAM or permanent like a hard drive	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 49 	cirv	dbx_c_index.htm#cirv	n.	From Latin 'curvus', extant in Russian, English, Spanish, Italian, German, Esperanto and Novial.  Vowel altered from /u/ due to a clash with an "unprintable" Russian word for "whore".	curve -- a line that smoothly and continuously deviates from straightness	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 50 	cis	dbx_c_index.htm#cis	n.	From Hindi & Arabic /kisa/.	story, tale -- a narrative account describing incidents or events	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 51 	cisid	dbx_c_index.htm#cisid	n.	From Russian /kisl/ and Latin 'acidus', extant in Spanish, English, Italian, Esperanto and Novial.	acid -- a substance having a pH of less than 7.0	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 52 	citab	dbx_c_index.htm#citab	n.	From Arabic /kitab/, with /kit-/ in Roumanian stem 'cit-', "read", and with initial /k-/ in Russian /knig/, "book".	book -- a copy of a written work or composition that has been published on pages bound together	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 53 	cog	dbx_c_index.htm#cog	n.	From Latin 'cognitio', extant in Spanish, English, et al.	knowledge -- the psychological result of perception, learning and reasoning	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 54 	cohol	dbx_c_index.htm#cohol	n.	From Arabic /kuhul/, which has been adopted (with its definite article, 'al') into Russian, Hindi, English, Spanish, German, Dutch, Esperanto, Novial, et al.	alcohol -- any of a series of volatile hydroxyl compounds made from hydrocarbons by distillation	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 55 	col	dbx_c_index.htm#col	n.	From Russian /koliso/, with /kol/- used in most other Slavic languages.	wheel -- a simple machine of a circular frame that can rotate on a shaft or axle	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 56 	coleb	dbx_c_index.htm#coleb	n.	From Russian /koleb/, with initial /k-/ in Arabic /khaz/ and Hindi /khil/.	oscillation -- movement or swinging from side to side regularly; as of a pendulum	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 57 	color	dbx_c_index.htm#color	n.	Latin 'color', extant in English 'color', Spanish 'colour', Italian 'colore', Dutch 'kleur', Esperanto 'koloro' and Novial 'kolore'.	color -- a visual attribute of things that results from the light they emit, transmit or reflect	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 58 	comanj	dbx_c_index.htm#comanj	n.	Blend of Spanish /kom/ and Old French 'mangier', extant in English ('manger'), Italian, Esperanto and Novial, with initial /k-/ in Hindi /kha/.	eating -- the act of taking in solid food	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 59 	comar	dbx_c_index.htm#comar	n.	From Latin 'comparare', extant in Spanish and English, with initial /k-/ in Arabic /karan/.	comparison -- examining resemblences or differences	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 60 	comb	dbx_c_index.htm#comb	n.	From Late Latin 'combattere', extant in Romance (French, Spanish) and English, with initial /k-/ in Arabic.	fight, combat, conflict -- a conflict between opposing groups, in which each attempts to gain power over the other	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 61 	comp	dbx_c_index.htm#comp	n.	From /komp-/ and /kamp-/ forms used in Russian, Germanic (English, German, Dutch), Italian and Esperanto.	computer -- a programmable electronic machine that automatically performs mathematical and logical calculations	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 62 	comun	dbx_c_index.htm#comun	n.	From Latin 'comunicare', extant in Spanish, English, Italian, Esperanto, Novial, et al., with intial /k-/ in Arabic /kalam/.	communication -- the activity of exchanging information	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 63 	con	dbx_c_index.htm#con	n.	From Latin 'contra-', extant in English, et al.	opposite extreme, polar opposite -- the direct contrast	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 64 	cond	dbx_c_index.htm#cond	n.	From Latin 'condition', extant in English and Spanish, et al.	condition, state, status -- the way something is in respect to its main attributes	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 65 	cont	dbx_c_index.htm#cont	n.	From English 'control', adopted into Russian, Spanish, Italian and Novial.	control -- power to direct or determine	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 66 	conus	dbx_c_index.htm#conus	n.	From Russian, German, Dutch and Esperanto /konus-/, with initial /kon-/ in Spanish, English, Italian and Novial forms.	cone -- a shape whose base is round and whose sides taper up to a point	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 67 	cop	dbx_c_index.htm#cop	n.	From Medieval Latin 'copia', extant in Russian, Romance (Spanish and Italian), Germanic (English, Dutch) and auxiliaries (Esperanto, Novial).  (Arabic root /k-l-d/.)	copy, a duplicate -- a reproduction of something	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 68 	corb	dbx_c_index.htm#corb	n.	Blend of Hindi /kor/ with Germanic /bor/ (from *border, extant in French, Italian, English and Novial).  Initial /k-/ strengthened by Russian /krai/.	edge -- the boundary of a surface	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 69 	cord	dbx_c_index.htm#cord	n.	From Greek 'khorde', extant in Latin, Spanish, Italian, English, Dutch, Novial, et al.	string, thread -- a lightweight cord, typically used for weaving, fastening, tying or lacing	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 70 	corect	dbx_c_index.htm#corect	n.	From Latin 'corect-', extant in Spanish, English, et al.	correct -- the state of being free from errors or mistakes	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 71 	cos	dbx_c_index.htm#cos	n.	From Spanish /kos/, with initial /k-/ in English 'cook'.	food preparation -- the act of readying food for eating, typically by cooking	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 72 	cost	dbx_c_index.htm#cost	n.	From Russian /kost/, with /-ost/ reinforced by Greek 'osteon', "bone" (extant in English osteo-, Esperanto 'osto', et al).	bone, os -- rigid connective tissue that makes up the skeleton of vertebrates	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 73 	cov	dbx_c_index.htm#cov	n.	From English 'cover', with initial /k-/ in Russian /kriv/.	cover -- something that serves to protect or conceal something	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 74 	cozom	dbx_c_index.htm#cozom	n.	From Greek 'kosmos', extant in Russian, English, et al.	outer space -- any region of space outside Earth's atmosphere	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 75 	cub	dbx_c_index.htm#cub	n.	From Arabic /kub/ and Russian /kubak/, both from Late Latin 'cuppa', also borrowed into Spanish, English and Dutch; initial /k-/ in Hindi /kator/.	cup -- a small open container usu. used for drinking	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 76 	cumah	dbx_c_index.htm#cumah	n.	From Arabic /kumash/, with initial /k-/ in English 'cloth' /kloth/ and Hindi /kapna/.	cloth, fabric -- something made by weaving, felting, knitting or crocheting natural or synthetic fibres	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 77 	curl	dbx_c_index.htm#curl	n.	From Romance /kruel/ forms (ultimately from Latin 'crudelis', "cruel", extant in Spanish, English, Hindi (/krur/), et al.   With initial /k-/ in Chinese /ku/ and Arabic /kas/.  (Use instead of 'vilens', from Latin, since 'curl' is more international in mnemonicity.)	violence -- the use of physical force for the purpose of violating, damaging or abusing people, animals or property	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 78 	curs	dbx_c_index.htm#curs	n.	From Indo-European *kers-, "to run", extant in Latin 'currere', extant in English 'cursor', 'course', 'corral', et al.	running movement -- moving fast by using one's feet, with one foot off the ground at any given time	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 79 	dab	dbx_d_index.htm#dab	n.	From Hindi /dab/, with initial /d-/ in Russian, Arabic, German and Dutch.	pressing, pressure -- the act of pressing	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 80 	dal	dbx_d_index.htm#dal	n.	From Hindi /dal/.	diagonal, incline -- something arranged obliquely or slanted	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 81 	dar	dbx_d_index.htm#dar	n.	From Hindi /dar/, with initial /d-/ in Mandarin Chinese /dai/.	stripe -- marking of a different color or texture from the background	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 82 	darg	dbx_d_index.htm#darg	n.	Blend of Arabic /darb/, Hindi /marg/ and Russian /darog/, with initial /d-/ in Mandarin Chinese /dau/.	road, route -- an open way generally public for travel or transportation	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 83 	dart	dbx_d_index.htm#dart	n.	From Hindi /darti/ and English /dirt/.	dirt, ground -- the loose soft material that makes up a large part of the surface of land	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 84 	datun	dbx_d_index.htm#datun	n.	From Arabic /datu/ and Mandarin Chinese /tun/.	same things, identical things -- things incapable of being perceived as different	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 85 	delc	dbx_d_index.htm#delc	n.	From Latin 'declarare', extant in Spanish, English, et al.	claim, assertion -- a declaration made as if no supporting evidence were necessary	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 86 	dend	dbx_d_index.htm#dend	n.	From Hindi /dendar/, with /d-n-/ in Arabic /dain/ and Russian /doljn/ and with /d-d/ in Spanish /deuda/, with initial /d-/ in English 'debit', Latin /debitum/ and Italian 'debito'.	debt -- the state of owing money	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 87 	dens	dbx_d_index.htm#dens	n.	Latin 'densus', extant in Spanish, Italian, English, Esperanto, Novial, et al, with /d-/ forms in German and Dutch.	dense something -- something with relatively high density (the quantity of something per unit measure, especially for area, but also for length or volume) [scalar]	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 88 	dent	dbx_d_index.htm#dent	n.	Indo-European *dent-, recognizably extant in Hindi, Romance (Latin, Spanish, Italian), English ('dental'), auxilaries (Esperanto, Novial).	tooth -- hard bonelike structures in the jaws of vertebrates; used for biting and chewing or for attack and defense	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 89 	des	dbx_d_index.htm#des	n.	Latin 'decem', "ten" (extant in Spanish & Italian), from Indo-European *dekm, extant in Russian, Germanic (English, German, Dutch) and auxilaries (Esperanto, Novial).  Mnemonic: decimal.	ten to the power of -- forms large number words, as in 'desduv' ("ten to the power of two, 100"), 'dester' (1,000) and 'dessis' (1,000,000); when used to describe how many of something is taken as an approximation	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 90 	desir	dbx_d_index.htm#desir	n.	From Latin 'desiderare', extant in Spanish, English, et al.	desire, wish, want -- a longing or strong inclination for something	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 91 	dev	dbx_d_index.htm#dev	n.	From Indo-European *deiwos, extant in Hindi 'dev' and in Latin 'devus', "god" (itself extant in English 'divine', Spanish 'dios', Italian 'dio' & 'divinita', Esperanto 'dio', Novial 'dee').	god, deity, divinity -- any supernatural being worshipped as controlling some part of the world or some aspect of life or who is the personification of a force	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 1740 	devpensper	dbx_d_index.htm#devpensper	n.	god+stylus+person	scribe -- transcriber of holy scrolls	MHM	Proofread	11/09/99 	NA	NA	11/09/99 	NA
 1741 	devper	dbx_d_index.htm#devper	n.	god+person	holy person, priest	MHM	Proofread	11/09/99 	NA	NA	11/09/99 	NA
 92 	dif	dbx_d_index.htm#dif	n.	From Latin 'difficultas', extant in Spanish and English, with initial /d-/ in Hindi /dushkar/.	difficult task -- something requiring relatively great effort to accomplish, comprehend or endure [scalar]	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
